"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0034340","BP","GO:0034340","response to type I interferon",21,0.672503079288255,2.78778418502786,1.9442398417936e-07,0.000154631875417318,0.000149263044696295,65,"tags=71%, list=20%, signal=61%","IFI27/RSAD2/USP18/IFIT1/ISG15/OAS3/IFIT3/IFI6/OAS1/OASL/MX1/OAS2/XAF1/IFIT2/TRIM6"
"GO:0060337","BP","GO:0060337","type I interferon signaling pathway",21,0.672503079288255,2.78778418502786,1.9442398417936e-07,0.000154631875417318,0.000149263044696295,65,"tags=71%, list=20%, signal=61%","IFI27/RSAD2/USP18/IFIT1/ISG15/OAS3/IFIT3/IFI6/OAS1/OASL/MX1/OAS2/XAF1/IFIT2/TRIM6"
"GO:0071357","BP","GO:0071357","cellular response to type I interferon",21,0.672503079288255,2.78778418502786,1.9442398417936e-07,0.000154631875417318,0.000149263044696295,65,"tags=71%, list=20%, signal=61%","IFI27/RSAD2/USP18/IFIT1/ISG15/OAS3/IFIT3/IFI6/OAS1/OASL/MX1/OAS2/XAF1/IFIT2/TRIM6"
"GO:0002252","BP","GO:0002252","immune effector process",79,0.428608112363258,2.43786988002727,1.8148945022289e-06,0.00108258457057954,0.00104499715023075,110,"tags=57%, list=33%, signal=50%","IFI27/IFI44L/RSAD2/OLFM4/IFIT1/ISG15/MMP8/OAS3/IFIT3/HERC5/IFI6/OAS1/OASL/MX1/OAS2/OLR1/ABCA13/DEFA4/DEFA1/DEFA3/DDX60/IFIT2/CTSG/C1QC/SERPING1/ARG1/TRIM6/CXCL10/CEACAM8/RTP4/EIF2AK2/CRISP3/DEFA1B/CD177/LCN2/TNFAIP6/PRTN3/FFAR3/PLSCR1/CEACAM6/IFIT5/LTF/C1QB/IFIT1B/CAMP"
"GO:0006955","BP","GO:0006955","immune response",100,0.396050064481778,2.32179191826355,6.6191941516812e-06,0.00315867944918227,0.0030490098534481,97,"tags=48%, list=29%, signal=49%","IFI27/IFI44L/RSAD2/USP18/IFI44/OLFM4/IFIT1/CCL2/ISG15/MMP8/OAS3/IFIT3/HERC5/IFI6/OAS1/OASL/MX1/CCL8/OAS2/OLR1/ABCA13/DEFA4/DEFA1/DEFA3/DDX60/XAF1/IFIT2/CTSG/C1QC/SERPING1/ARG1/CXCL11/TRIM6/LAMP3/CXCL10/CEACAM8/LIF/EIF2AK2/CRISP3/DEFA1B/CD177/LCN2/TNFAIP6/PRTN3/FFAR3/PLSCR1/CEACAM6/IFIT5"
"GO:0009615","BP","GO:0009615","response to virus",46,0.478956769734021,2.47911962302008,1.22143237896674e-05,0.00485722942702439,0.00468858604417407,83,"tags=54%, list=25%, signal=47%","IFI27/IFI44L/RSAD2/IFI44/IFIT1/ISG15/OAS3/IFIT3/HERC5/IFI6/OAS1/OASL/MX1/CCL8/OAS2/DEFA1/DEFA3/DDX60/IFIT2/TRIM6/CXCL10/RTP4/EIF2AK2/DEFA1B/LCN2"
"GO:0006952","BP","GO:0006952","defense response",103,0.389240573683647,2.30006250017105,1.99665075951802e-05,0.00653965172457302,0.00631259450891859,146,"tags=64%, list=44%, signal=52%","IFI27/IFI44L/SIGLEC1/RSAD2/USP18/IFIT1/CCL2/ISG15/PTGFR/MMP8/OAS3/IFIT3/HERC5/IFI6/OAS1/OASL/MX1/CCL8/OAS2/OLR1/DEFA4/DEFA1/DEFA3/SDC1/DDX60/XAF1/IFIT2/CTSG/C1QC/SERPING1/ARG1/CXCL11/TRIM6/CXCL10/PBK/RTP4/EIF2AK2/CRISP3/DEFA1B/CD177/LCN2/TNFAIP6/BATF2/FFAR3/PLSCR1/IFIT5/LTF/C1QB/IFIT1B/CAMP/INHBA/IL1R2/DEFB1/LGALS3BP/TARM1/IGF1/HP/MPO/IFIH1/CCL1/GSDMC/BPI/AZU1/ZBP1/IRF7/IFITM3"
"GO:0002376","BP","GO:0002376","immune system process",123,0.366529523142015,2.19948071661117,2.1926745094964e-05,0.00653965172457302,0.00631259450891859,150,"tags=62%, list=45%, signal=54%","IFI27/IFI44L/RSAD2/USP18/IFI44/OLFM4/IFIT1/CCL2/ISG15/MMP8/OAS3/IFIT3/HERC5/IFI6/OAS1/OASL/MX1/CCL8/OAS2/OLR1/ABCA13/DEFA4/DEFA1/DEFA3/SDC1/DDX60/XAF1/IFIT2/CTSG/C1QC/SERPING1/ARG1/CXCL11/TRIM6/LAMP3/CXCL10/CEACAM8/LIF/RTP4/EIF2AK2/CRISP3/DEFA1B/CD177/LCN2/TNFAIP6/PRTN3/BATF2/FFAR3/PLSCR1/CEACAM6/IFIT5/AHSP/HERC6/LTF/C1QB/IFIT1B/SFRP1/CAMP/INHBA/IL1R2/DEFB1/TARM1/IGF1/HP/MPO/IFIH1/CCL1/CAV1/COL1A2/BPI/AZU1/ZBP1/IRF7/IFITM3/RHAG/ELANE"
"GO:0050792","BP","GO:0050792","regulation of viral process",23,0.564290010276117,2.42226642415028,2.82469238021804e-05,0.00673971601920025,0.00650571255570219,101,"tags=74%, list=31%, signal=55%","IFI27/RSAD2/IFIT1/ISG15/OAS3/OAS1/OASL/MX1/TMPRSS2/CCL8/OAS2/TRIM6/LAMP3/EIF2AK2/PLSCR1/IFIT5/LTF"
"GO:1903900","BP","GO:1903900","regulation of viral life cycle",23,0.564290010276117,2.42226642415028,2.82469238021804e-05,0.00673971601920025,0.00650571255570219,101,"tags=74%, list=31%, signal=55%","IFI27/RSAD2/IFIT1/ISG15/OAS3/OAS1/OASL/MX1/TMPRSS2/CCL8/OAS2/TRIM6/LAMP3/EIF2AK2/PLSCR1/IFIT5/LTF"
